No,Provinsi,Kabupaten
151,Kepulauan Bangka Belitung,Kab. Bangka Tengah
152,Kepulauan Bangka Belitung,Kab. Bangka Barat
153,Kepulauan Bangka Belitung,Kab. Belitung
154,Kepulauan Bangka Belitung,Kab. Belitung Timur
155,Kalimantan Barat,Kota Pontianak
156,Kalimantan Barat,Kab. Mempawah
157,Kalimantan Barat,Kab. Kubu Raya
158,Kalimantan Barat,Kota Singkawang
159,Kalimantan Barat,Kab. Sambas
160,Kalimantan Barat,Kab. Bengkayang
161,Kalimantan Barat,Kab. Sanggau
162,Kalimantan Barat,Kab. Landak
163,Kalimantan Barat,Kab. Sekadau
164,Kalimantan Barat,Kab. Sintang
165,Kalimantan Barat,Kab. Melawi
166,Kalimantan Barat,Kab. Kapuas Hulu
167,Banten,Kota Serang
168,Banten,Kab. Serang
169,Banten,Kota Cilegon
170,Banten,Kab. Lebak
171,Banten,Kab. Pandeglang
172,Banten,Kota Tangerang
173,Banten,Kab. Tangerang
174,Banten,Kota Tangerang Selatan
175,DKI Jakarta,Kota Administrasi Jakarta Pusat
176,DKI Jakarta,Kota Administrasi Jakarta Barat
177,DKI Jakarta,Kota Administrasi Jakarta Selatan
178,DKI Jakarta,Kab. Administrasi Kepulauan Seribu
179,DKI Jakarta,Kota Administrasi Jakarta Utara
180,DKI Jakarta,Kota Administrasi Jakarta Timur
181,Jawa Barat,Kab. Karawang
182,Jawa Barat,Kota Bogor
183,Jawa Barat,Kab. Bogor
184,Jawa Barat,Kota Bekasi
185,Jawa Barat,Kab. Bekasi
186,Jawa Barat,Kota Depok
187,Jawa Barat,Kab. Subang
188,Jawa Barat,Kab. Purwakarta
189,Jawa Barat,Kota Sukabumi
190,Jawa Barat,Kab. Sukabumi
191,Jawa Barat,Kab. Cianjur
192,Jawa Barat,Kota Bandung
193,Jawa Barat,Kab. Bandung
194,Jawa Barat,Kab. Bandung Barat
195,Jawa Barat,Kota Cimahi
196,Jawa Barat,Kab. Majalengka
197,Jawa Barat,Kab. Sumedang
198,Jawa Barat,Kab. Indramayu
199,Jawa Barat,Kota Cirebon
200,Jawa Barat,Kab. Kuningan
201,Jawa Barat,Kab. Cirebon
202,Jawa Barat,Kota Tasikmalaya
203,Jawa Barat,Kab. Garut
204,Jawa Barat,Kab. Tasikmalaya
205,Jawa Barat,Kota Banjar
206,Jawa Barat,Kab. Ciamis
207,Jawa Barat,Kab. Pangandaran
208,Jawa Tengah,Kab. Cilacap
209,Jawa Tengah,Kab. Banyumas
210,Jawa Tengah,Kab. Purbalingga
211,Jawa Tengah,Kab. Kebumen
212,Jawa Tengah,Kab. Purworejo
213,Jawa Tengah,Kab. Wonosobo
214,Jawa Tengah,Kab. Banjarnegara
